;             train/loss;              test/loss;  metrics/accuracy_top1;  metrics/accuracy_top5;                   lr/0
127;0.32953;0.33583;0.97966;1;0.00091552
128;0.34413;0.33771;0.98305;1;0.00091486
129;0.3442;0.356;0.96949;1;0.0009142
130;0.34575;0.34231;0.97288;1;0.00091354
131;0.34923;0.35077;0.96949;1;0.00091288
132;0.35173;0.33733;0.97627;1;0.00091222
133;0.35242;0.3535;0.97966;1;0.00091156
134;0.33503;0.3453;0.97966;1;0.0009109
135;0.33738;0.33468;0.97966;1;0.00091024
136;0.33276;0.32275;0.97966;1;0.00090958
137;0.32935;0.35393;0.97966;1;0.00090892
138;0.34974;0.33287;0.97966;1;0.00090826
139;0.33151;0.36267;0.97288;1;0.0009076
140;0.33477;0.38262;0.95932;1;0.00090694
141;0.3315;0.32596;0.98305;1;0.00090628
142;0.33768;0.33545;0.97627;1;0.00090562
143;0.33485;0.3886;0.95254;1;0.00090496
144;0.32257;0.32899;0.97627;1;0.0009043
145;0.34811;0.3286;0.98305;1;0.00090364
146;0.35309;0.39211;0.96271;1;0.00090298
147;0.33977;0.354;0.96271;1;0.00090232
148;0.33633;0.32539;0.97627;1;0.00090166
149;0.33699;0.33457;0.98305;1;0.000901
150;0.34316;0.32797;0.97966;1;0.00090034
151;0.33082;0.33076;0.98644;1;0.00089968
152;0.33574;0.34936;0.97288;1;0.00089902
153;0.33372;0.3507;0.97966;1;0.00089836
154;0.34579;0.34654;0.97627;1;0.0008977
155;0.33548;0.34518;0.96949;1;0.00089704
156;0.34881;0.32702;0.98305;1;0.00089638
157;0.33773;0.32879;0.98644;1;0.00089572
158;0.34904;0.33687;0.98644;1;0.00089506
159;0.35242;0.33748;0.98305;1;0.0008944
160;0.34179;0.32425;0.98983;1;0.00089374
161;0.32382;0.3557;0.96949;1;0.00089308
162;0.33804;0.34078;0.97288;1;0.00089242
163;0.34378;0.32333;0.98644;1;0.00089176
164;0.34591;0.32845;0.98644;1;0.0008911
165;0.34628;0.34487;0.97966;1;0.00089044
166;0.33371;0.33789;0.98305;1;0.00088978
167;0.33619;0.32641;0.98305;1;0.00088912
168;0.32948;0.3577;0.98305;1;0.00088846
169;0.34677;0.34395;0.97288;1;0.0008878
170;0.33065;0.33741;0.98305;1;0.00088714
171;0.32974;0.35913;0.97966;1;0.00088648
172;0.3343;0.34937;0.97966;1;0.00088582
173;0.32643;0.35097;0.97627;1;0.00088516
174;0.33505;0.34823;0.97627;1;0.0008845
175;0.33089;0.35565;0.98305;1;0.00088384
176;0.34212;0.32204;0.99322;1;0.00088318
177;0.33161;0.31844;0.98983;1;0.00088252
178;0.33544;0.34149;0.98983;1;0.00088186
179;0.3444;0.33501;0.97627;1;0.0008812
180;0.34123;0.37066;0.9661;1;0.00088054
181;0.34881;0.36459;0.96271;1;0.00087988
182;0.33712;0.33729;0.97966;1;0.00087922
183;0.32881;0.33339;0.97627;1;0.00087856
