               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  55,            0.050417,            0.015277,            0.020849,             0.58206,             0.53083,             0.54708,              0.2541,            0.046913,           0.0088326,            0.020401,            0.008218,            0.008218,            0.008218
                  56,            0.050277,            0.014963,            0.020963,             0.58612,             0.52789,             0.54716,              0.2543,            0.046898,           0.0088296,            0.020401,            0.008185,            0.008185,            0.008185
                  57,            0.050397,            0.015227,            0.020742,             0.58575,             0.52742,             0.54706,             0.25442,            0.046882,           0.0088279,            0.020403,            0.008152,            0.008152,            0.008152
                  58,            0.050133,            0.015067,            0.020762,             0.58568,             0.52698,             0.54713,             0.25472,             0.04687,           0.0088261,            0.020399,            0.008119,            0.008119,            0.008119
                  59,            0.049975,            0.015007,            0.020586,             0.58761,              0.5278,             0.54756,              0.2549,            0.046853,           0.0088247,            0.020393,            0.008086,            0.008086,            0.008086
                  60,             0.05011,            0.015167,            0.020718,             0.59035,             0.52778,             0.54838,             0.25572,            0.046844,           0.0088219,            0.020393,            0.008053,            0.008053,            0.008053
                  61,             0.04987,            0.015093,            0.020677,             0.59101,             0.52774,             0.54867,             0.25567,            0.046834,           0.0088192,            0.020394,             0.00802,             0.00802,             0.00802
                  62,            0.049977,            0.015075,            0.020639,             0.59412,             0.52642,             0.54914,             0.25627,            0.046825,           0.0088151,            0.020395,            0.007987,            0.007987,            0.007987
                  63,            0.049968,            0.015192,            0.020591,             0.59226,             0.52732,             0.54935,             0.25615,            0.046816,           0.0088122,            0.020394,            0.007954,            0.007954,            0.007954
                  64,            0.049893,            0.015011,            0.020672,             0.59158,             0.52684,             0.54972,             0.25636,            0.046801,           0.0088103,            0.020391,            0.007921,            0.007921,            0.007921
                  65,            0.049783,            0.015131,            0.020635,             0.59132,              0.5281,             0.55003,             0.25643,            0.046787,           0.0088079,             0.02039,            0.007888,            0.007888,            0.007888
                  66,            0.049722,            0.015051,            0.020558,             0.59143,             0.52969,              0.5499,             0.25701,            0.046781,           0.0088053,            0.020388,            0.007855,            0.007855,            0.007855
                  67,            0.049844,            0.015017,            0.020444,             0.59386,             0.52721,             0.54997,             0.25716,             0.04678,           0.0088046,            0.020392,            0.007822,            0.007822,            0.007822
                  68,            0.049755,            0.014928,            0.020432,             0.59799,              0.5261,             0.54972,             0.25697,            0.046777,           0.0088034,            0.020394,            0.007789,            0.007789,            0.007789
                  69,            0.049772,            0.015153,            0.020458,              0.5972,             0.52732,             0.55003,             0.25725,            0.046779,           0.0087989,            0.020395,            0.007756,            0.007756,            0.007756
                  70,            0.049751,            0.015113,            0.020419,             0.59915,             0.52805,             0.55091,             0.25759,            0.046777,           0.0087958,            0.020395,            0.007723,            0.007723,            0.007723
                  71,             0.04934,            0.014867,            0.020343,             0.60003,             0.52811,             0.55143,             0.25818,            0.046767,           0.0087934,            0.020397,             0.00769,             0.00769,             0.00769
                  72,            0.049542,            0.015103,             0.02049,             0.60198,             0.52867,             0.55148,             0.25818,            0.046754,           0.0087915,            0.020399,            0.007657,            0.007657,            0.007657
                  73,            0.049215,            0.015035,            0.020479,             0.60659,             0.52606,             0.55208,             0.25812,            0.046744,           0.0087874,            0.020399,            0.007624,            0.007624,            0.007624
                  74,            0.049514,            0.015073,            0.020499,             0.60859,             0.52723,             0.55321,             0.25869,            0.046729,           0.0087859,            0.020399,            0.007591,            0.007591,            0.007591
                  75,            0.049444,            0.014989,            0.020401,              0.6087,              0.5276,             0.55336,             0.25892,            0.046715,           0.0087833,            0.020396,            0.007558,            0.007558,            0.007558
                  76,            0.049472,            0.014952,            0.020435,             0.60695,             0.52874,             0.55319,             0.25914,            0.046702,           0.0087814,            0.020394,            0.007525,            0.007525,            0.007525
                  77,            0.049327,            0.014814,            0.020332,              0.6062,             0.53227,              0.5534,             0.25933,            0.046692,           0.0087786,            0.020391,            0.007492,            0.007492,            0.007492
                  78,            0.049129,            0.014948,            0.020357,             0.60407,              0.5343,             0.55438,             0.25965,            0.046689,           0.0087759,            0.020397,            0.007459,            0.007459,            0.007459
                  79,            0.048809,            0.014987,            0.020252,              0.6079,             0.53373,             0.55477,              0.2601,             0.04668,           0.0087728,            0.020394,            0.007426,            0.007426,            0.007426
                  80,            0.049118,            0.014896,            0.020306,             0.60815,             0.53135,             0.55443,             0.26025,            0.046673,           0.0087709,            0.020391,            0.007393,            0.007393,            0.007393
                  81,            0.049025,            0.014877,            0.020331,             0.60669,             0.53231,             0.55435,             0.26059,            0.046667,            0.008768,            0.020385,             0.00736,             0.00736,             0.00736
                  82,            0.049009,            0.014867,            0.020365,             0.60747,              0.5324,             0.55446,             0.26061,            0.046663,           0.0087643,            0.020381,            0.007327,            0.007327,            0.007327
