               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  50,            0.046979,            0.014529,            0.020191,             0.63526,             0.54388,             0.58467,             0.28578,            0.044521,           0.0086247,            0.020014,           0.0087872,           0.0087872,           0.0087872
                  51,            0.046753,            0.014581,            0.020133,             0.64067,             0.53919,             0.58472,             0.28591,            0.044508,           0.0086236,            0.020011,           0.0087625,           0.0087625,           0.0087625
                  52,            0.046819,            0.014507,            0.020081,             0.64072,             0.53909,             0.58569,             0.28654,            0.044497,           0.0086233,            0.020009,           0.0087378,           0.0087378,           0.0087378
                  53,             0.04659,            0.014562,             0.01992,             0.64108,             0.54105,             0.58618,             0.28638,            0.044488,           0.0086227,             0.02001,            0.008713,            0.008713,            0.008713
                  54,            0.046559,            0.014595,            0.020096,             0.63967,             0.54036,             0.58536,             0.28663,            0.044478,           0.0086222,            0.020008,           0.0086882,           0.0086882,           0.0086882
                  55,            0.046765,            0.014645,            0.020108,             0.63872,             0.54293,             0.58541,             0.28681,            0.044465,           0.0086197,            0.020008,           0.0086635,           0.0086635,           0.0086635
                  56,             0.04635,            0.014346,            0.020102,             0.64117,             0.54202,             0.58579,             0.28737,            0.044457,           0.0086176,            0.020012,           0.0086388,           0.0086388,           0.0086388
                  57,            0.046325,            0.014579,             0.01986,             0.63779,             0.54254,              0.5851,             0.28746,            0.044456,           0.0086167,            0.020013,            0.008614,            0.008614,            0.008614
                  58,             0.04644,            0.014479,            0.019971,             0.63683,             0.54378,             0.58517,             0.28814,            0.044442,           0.0086151,            0.020014,           0.0085893,           0.0085893,           0.0085893
                  59,            0.046064,             0.01438,            0.019841,             0.63576,             0.54643,             0.58653,             0.28876,            0.044422,           0.0086141,            0.020011,           0.0085645,           0.0085645,           0.0085645
                  60,            0.046123,            0.014501,            0.019949,             0.63234,             0.54942,             0.58656,             0.28932,            0.044408,           0.0086122,            0.020012,           0.0085398,           0.0085398,           0.0085398
                  61,            0.045974,            0.014431,            0.019971,             0.63697,             0.54593,             0.58619,             0.28941,            0.044396,           0.0086116,            0.020012,            0.008515,            0.008515,            0.008515
                  62,            0.045908,             0.01433,            0.019856,             0.63638,             0.54797,             0.58678,             0.28936,            0.044387,           0.0086115,            0.020015,           0.0084903,           0.0084903,           0.0084903
                  63,            0.046117,            0.014486,             0.01981,             0.63479,             0.55089,             0.58755,             0.28973,            0.044382,           0.0086103,            0.020015,           0.0084655,           0.0084655,           0.0084655
                  64,            0.046057,            0.014327,            0.019913,             0.63577,             0.55012,             0.58811,             0.28995,             0.04437,           0.0086089,             0.02001,           0.0084408,           0.0084408,           0.0084408
                  65,            0.046092,            0.014432,            0.019846,             0.63909,             0.54702,             0.58821,              0.2903,            0.044366,           0.0086069,             0.02001,            0.008416,            0.008416,            0.008416
                  66,            0.045659,            0.014262,            0.019834,             0.63743,              0.5482,             0.58791,              0.2906,            0.044355,           0.0086039,            0.020013,           0.0083913,           0.0083913,           0.0083913
                  67,            0.045567,            0.014394,            0.019602,             0.63977,             0.54878,             0.58802,             0.29076,            0.044348,            0.008602,            0.020018,           0.0083665,           0.0083665,           0.0083665
                  68,            0.045522,            0.014213,            0.019589,             0.63995,             0.54856,             0.58873,             0.29116,            0.044342,           0.0086004,            0.020023,           0.0083418,           0.0083418,           0.0083418
