;      train/box_loss;      train/obj_loss;      train/cls_loss;   metrics/precision;      metrics/recall;     metrics/mAP_0.5;metrics/mAP_0.5:0.95;        val/box_loss;        val/obj_loss;        val/cls_loss;               x/lr0;               x/lr1;               x/lr2
44;0.03395;0.0079313;0;0.74779;0.62973;0.74502;0.50766;0.042604;0.0034705;0;0.0089358;0.0089358;0.0089358
45;0.036211;0.0074924;0;0.83442;0.67257;0.73439;0.5325;0.043285;0.0031864;0;0.008911;0.008911;0.008911
46;0.034424;0.0075741;0;0.80646;0.71681;0.79743;0.56097;0.047962;0.0030262;0;0.0088863;0.0088863;0.0088863
47;0.034221;0.007609;0;0.85198;0.76991;0.8117;0.54925;0.038152;0.0028833;0;0.0088615;0.0088615;0.0088615
48;0.036075;0.0077041;0;0.80586;0.65487;0.74265;0.48826;0.045532;0.0033364;0;0.0088368;0.0088368;0.0088368
49;0.035215;0.0077205;0;0.87315;0.73099;0.79796;0.54841;0.043395;0.0030984;0;0.008812;0.008812;0.008812
50;0.034224;0.0076171;0;0.87387;0.72566;0.80142;0.56691;0.045291;0.0029654;0;0.0087872;0.0087872;0.0087872
51;0.034501;0.0075948;0;0.67079;0.59505;0.6479;0.39229;0.055638;0.0037185;0;0.0087625;0.0087625;0.0087625
52;0.035289;0.0072613;0;0.73863;0.67257;0.69218;0.42189;0.051461;0.0037333;0;0.0087378;0.0087378;0.0087378
53;0.034863;0.0074614;0;0.86446;0.6773;0.77429;0.54946;0.038948;0.0032547;0;0.008713;0.008713;0.008713
54;0.034644;0.007125;0;0.88141;0.77876;0.85283;0.54859;0.040749;0.0029562;0;0.0086882;0.0086882;0.0086882
55;0.033296;0.0071384;0;0.7861;0.69912;0.78272;0.51881;0.041717;0.0030684;0;0.0086635;0.0086635;0.0086635
56;0.035868;0.0074672;0;0.73721;0.55752;0.57102;0.34537;0.059002;0.0037973;0;0.0086388;0.0086388;0.0086388
57;0.034197;0.0072983;0;0.72966;0.66882;0.729;0.48622;0.040886;0.0032589;0;0.008614;0.008614;0.008614
58;0.035254;0.0075033;0;0.81129;0.76092;0.78185;0.53291;0.045108;0.0031366;0;0.0085893;0.0085893;0.0085893
59;0.0335;0.0072277;0;0.60367;0.55267;0.58285;0.34803;0.050113;0.0037612;0;0.0085645;0.0085645;0.0085645
60;0.032844;0.0072942;0;0.85097;0.75802;0.81465;0.52994;0.046708;0.0028631;0;0.0085398;0.0085398;0.0085398
61;0.033564;0.0071473;0;0.80716;0.70379;0.80475;0.58442;0.038906;0.0027792;0;0.008515;0.008515;0.008515
62;0.031585;0.0073318;0;0.87155;0.76106;0.837;0.60772;0.04122;0.0026301;0;0.0084903;0.0084903;0.0084903
63;0.033683;0.0071157;0;0.93178;0.72527;0.83178;0.52731;0.038;0.0029706;0;0.0084655;0.0084655;0.0084655
64;0.033412;0.0069032;0;0.85191;0.73451;0.8133;0.56956;0.040158;0.0027571;0;0.0084408;0.0084408;0.0084408
65;0.034296;0.0073913;0;0.74607;0.70204;0.76314;0.47587;0.05116;0.0032754;0;0.008416;0.008416;0.008416
66;0.034127;0.0069922;0;0.83344;0.70849;0.79051;0.52533;0.040427;0.0030752;0;0.0083913;0.0083913;0.0083913
67;0.032641;0.0069979;0;0.88601;0.75221;0.87601;0.60015;0.041201;0.0027167;0;0.0083665;0.0083665;0.0083665
68;0.032639;0.0071383;0;0.83136;0.69803;0.79479;0.51693;0.042454;0.0031607;0;0.0083418;0.0083418;0.0083418
69;0.031511;0.0069614;0;0.79508;0.7554;0.82151;0.58678;0.041627;0.0027212;0;0.008317;0.008317;0.008317
70;0.032327;0.0067866;0;0.86234;0.7207;0.83168;0.61663;0.043564;0.0026354;0;0.0082922;0.0082922;0.0082922
71;0.032339;0.0069557;0;0.7841;0.80531;0.83891;0.58935;0.038134;0.0026179;0;0.0082675;0.0082675;0.0082675
72;0.033972;0.007203;0;0.87433;0.80044;0.86844;0.60399;0.042277;0.0027057;0;0.0082428;0.0082428;0.0082428
73;0.032663;0.0069797;0;0.82958;0.65487;0.75867;0.53597;0.046031;0.0030434;0;0.008218;0.008218;0.008218
74;0.030847;0.0069993;0;0.86538;0.74336;0.82528;0.53589;0.040048;0.0030844;0;0.0081932;0.0081932;0.0081932
75;0.0326;0.0068021;0;0.83569;0.78761;0.81354;0.58316;0.041384;0.0030395;0;0.0081685;0.0081685;0.0081685
76;0.032525;0.0066459;0;0.87935;0.71681;0.80145;0.55534;0.0393;0.003167;0;0.0081437;0.0081437;0.0081437
77;0.03204;0.0067034;0;0.88428;0.81149;0.87772;0.6742;0.041912;0.0023476;0;0.008119;0.008119;0.008119
