               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  62,            0.052839,            0.015768,            0.021652,             0.54926,             0.48578,              0.4881,             0.21784,            0.048978,           0.0091915,            0.020661,            0.007987,            0.007987,            0.007987
                  63,            0.052881,            0.015922,            0.021646,             0.55076,             0.48365,               0.489,             0.21847,             0.04895,           0.0091853,            0.020658,            0.007954,            0.007954,            0.007954
                  64,            0.052694,             0.01571,            0.021717,             0.55194,             0.48437,             0.49008,              0.2188,            0.048925,           0.0091794,            0.020654,            0.007921,            0.007921,            0.007921
                  65,            0.052834,            0.015876,            0.021745,             0.55668,             0.48177,             0.49106,             0.21961,            0.048902,           0.0091728,            0.020652,            0.007888,            0.007888,            0.007888
                  66,            0.052635,            0.015777,            0.021616,             0.55562,             0.48471,             0.49256,             0.22011,            0.048877,           0.0091669,            0.020648,            0.007855,            0.007855,            0.007855
                  67,            0.052693,            0.015721,            0.021508,             0.55688,             0.48632,             0.49343,             0.22029,            0.048856,           0.0091615,            0.020644,            0.007822,            0.007822,            0.007822
                  68,            0.052674,            0.015618,            0.021516,             0.55883,             0.48502,             0.49426,             0.22064,             0.04883,           0.0091541,            0.020641,            0.007789,            0.007789,            0.007789
                  69,            0.052587,             0.01583,            0.021515,             0.55946,             0.48742,             0.49473,             0.22085,            0.048807,           0.0091472,            0.020638,            0.007756,            0.007756,            0.007756
                  70,            0.052509,            0.015805,            0.021447,             0.56491,              0.4861,             0.49595,             0.22156,            0.048779,           0.0091403,            0.020632,            0.007723,            0.007723,            0.007723
                  71,            0.052169,            0.015544,            0.021408,             0.56411,             0.48758,             0.49675,             0.22247,             0.04875,           0.0091347,            0.020626,             0.00769,             0.00769,             0.00769
                  72,            0.052428,            0.015792,            0.021599,             0.56325,             0.48745,             0.49778,             0.22282,            0.048721,           0.0091294,            0.020619,            0.007657,            0.007657,            0.007657
                  73,            0.052065,            0.015728,            0.021476,             0.56482,             0.48859,             0.49915,             0.22345,             0.04869,           0.0091239,             0.02061,            0.007624,            0.007624,            0.007624
                  74,            0.052291,            0.015773,            0.021485,             0.56567,             0.49228,             0.49984,             0.22406,            0.048659,           0.0091191,            0.020597,            0.007591,            0.007591,            0.007591
                  75,            0.052298,            0.015659,            0.021463,             0.56569,             0.49442,             0.50125,             0.22477,            0.048626,            0.009112,             0.02059,            0.007558,            0.007558,            0.007558
                  76,            0.052269,            0.015616,            0.021431,             0.56679,             0.49522,             0.50195,             0.22546,            0.048597,            0.009106,            0.020584,            0.007525,            0.007525,            0.007525
                  77,            0.052017,            0.015508,            0.021352,             0.56429,             0.49756,             0.50276,             0.22575,            0.048564,              0.0091,            0.020576,            0.007492,            0.007492,            0.007492
                  78,            0.051888,            0.015646,            0.021341,             0.56666,             0.49973,             0.50306,             0.22613,            0.048531,           0.0090942,            0.020567,            0.007459,            0.007459,            0.007459
                  79,            0.051705,            0.015682,            0.021186,             0.56619,             0.49879,             0.50324,             0.22656,            0.048499,           0.0090886,            0.020557,            0.007426,            0.007426,            0.007426
                  80,            0.051918,            0.015584,            0.021282,             0.56598,             0.49871,             0.50419,             0.22678,            0.048466,           0.0090832,            0.020549,            0.007393,            0.007393,            0.007393
