;             train/loss;               val/loss;  metrics/accuracy_top1;  metrics/accuracy_top5;                   lr/0
294;0,33356;0,32285;0,99042;1;0,00026987
295;0,33669;0,32267;0,99042;1;0,0002674
296;0,33604;0,32239;0,99042;1;0,00026492
297;0,33381;0,32205;0,99129;1;0,00026245
298;0,33576;0,32173;0,99129;1;0,00025997
299;0,33901;0,32144;0,99129;1;0,0002575
300;0,33451;0,32119;0,99129;1;0,00025503
301;0,33727;0,32093;0,99129;1;0,00025255
302;0,33107;0,32075;0,99129;1;0,00025008
303;0,33406;0,3204;0,99129;1;0,0002476
304;0,32865;0,32006;0,99129;1;0,00024513
305;0,33759;0,31986;0,99129;1;0,00024265
306;0,33242;0,31956;0,99129;1;0,00024018
307;0,33157;0,31945;0,99129;1;0,0002377
308;0,33517;0,31912;0,99129;1;0,00023523
309;0,33549;0,31874;0,99129;1;0,00023275
310;0,33532;0,31852;0,99129;1;0,00023028
311;0,3288;0,3183;0,99129;1;0,0002278
312;0,3361;0,31795;0,99129;1;0,00022533
313;0,3302;0,31777;0,99129;1;0,00022285
314;0,33406;0,31746;0,99129;1;0,00022038
315;0,33036;0,31715;0,99216;1;0,0002179
316;0,33075;0,31692;0,99216;1;0,00021543
317;0,32988;0,31664;0,99216;1;0,00021295
318;0,32865;0,31644;0,99216;1;0,00021048
319;0,32594;0,31625;0,99216;1;0,000208
320;0,33219;0,31605;0,99216;1;0,00020553
321;0,33048;0,31581;0,99216;1;0,00020305
322;0,32844;0,31562;0,99216;1;0,00020058
323;0,33015;0,31544;0,99216;1;0,0001981
324;0,33048;0,31515;0,99216;1;0,00019562
325;0,33141;0,31508;0,99216;1;0,00019315
326;0,33163;0,31473;0,9926;1;0,00019068
327;0,32943;0,31454;0,9926;1;0,0001882
328;0,32688;0,31437;0,9926;1;0,00018573
329;0,32931;0,31409;0,9926;1;0,00018325
330;0,32894;0,31379;0,9926;1;0,00018077
331;0,33081;0,31356;0,9926;1;0,0001783
332;0,33085;0,3133;0,9926;1;0,00017582
333;0,32926;0,31311;0,9926;1;0,00017335
334;0,32835;0,31281;0,9926;1;0,00017087
335;0,32909;0,31257;0,99347;1;0,0001684
336;0,32597;0,31242;0,99347;1;0,00016592
337;0,32816;0,31228;0,99347;1;0,00016345
338;0,32728;0,31205;0,99347;1;0,00016097
339;0,32794;0,31184;0,99347;1;0,0001585
340;0,32663;0,31179;0,99347;1;0,00015602
341;0,32641;0,31158;0,99347;1;0,00015355
342;0,32713;0,31141;0,99347;1;0,00015107
343;0,32658;0,3112;0,99347;1;0,0001486
344;0,32485;0,31103;0,99347;1;0,00014612
345;0,32751;0,31084;0,99347;1;0,00014365
346;0,32432;0,31066;0,99347;1;0,00014117
347;0,32648;0,31052;0,99347;1;0,0001387
348;0,3246;0,31028;0,99347;1;0,00013622
349;0,32245;0,31009;0,9939;1;0,00013375
350;0,32048;0,30981;0,9939;1;0,00013128
351;0,32332;0,30956;0,9939;1;0,0001288
352;0,32538;0,30932;0,9939;1;0,00012633
353;0,32369;0,3093;0,9939;1;0,00012385
354;0,32143;0,30904;0,9939;1;0,00012138
355;0,32292;0,30884;0,99434;1;0,0001189
356;0,3221;0,30872;0,99434;1;0,00011643
357;0,3234;0,30855;0,99434;1;0,00011395
358;0,32357;0,30836;0,99434;1;0,00011148
359;0,32414;0,30821;0,99434;1;0,000109
360;0,32275;0,30797;0,99434;1;0,00010653
361;0,32108;0,30782;0,99434;1;0,00010405
362;0,32467;0,30773;0,99434;1;0,00010158
363;0,32181;0,30747;0,99434;1;9,91E-05
364;0,31888;0,3073;0,99434;1;9,66E-05
365;0,3214;0,30718;0,99434;1;9,42E-05
366;0,32038;0,30699;0,99434;1;9,17E-05
367;0,3205;0,30685;0,99434;1;8,92E-05
368;0,32116;0,30665;0,99434;1;8,67E-05
369;0,32375;0,3065;0,99434;1;8,43E-05
370;0,31971;0,3064;0,99434;1;8,18E-05
371;0,32422;0,3063;0,99434;1;7,93E-05
372;0,32032;0,30619;0,99434;1;7,68E-05
373;0,31725;0,306;0,99434;1;7,44E-05
374;0,32262;0,30583;0,99434;1;7,19E-05
375;0,31672;0,30571;0,99434;1;6,94E-05
376;0,32044;0,30548;0,99434;1;6,69E-05
377;0,32171;0,3054;0,99434;1;6,45E-05
378;0,31921;0,30525;0,99477;1;6,20E-05
379;0,3201;0,30517;0,99477;1;5,95E-05
380;0,31804;0,30496;0,99477;1;5,70E-05
381;0,31556;0,30487;0,99477;1;5,46E-05
382;0,31636;0,30487;0,99477;1;5,21E-05
383;0,31896;0,30461;0,99477;1;4,96E-05
384;0,31692;0,30449;0,99521;1;4,71E-05
385;0,31899;0,30431;0,99521;1;4,47E-05
386;0,31912;0,30422;0,99521;1;4,22E-05
387;0,32111;0,30408;0,99521;1;3,97E-05
388;0,31873;0,30393;0,99521;1;3,72E-05
389;0,31488;0,30386;0,99521;1;3,48E-05
390;0,31669;0,3037;0,99521;1;3,23E-05
391;0,31699;0,3036;0,99521;1;2,98E-05
392;0,31717;0,3035;0,99521;1;2,73E-05
393;0,31985;0,30333;0,99521;1;2,49E-05
394;0,31524;0,30323;0,99521;1;2,24E-05
395;0,31403;0,30312;0,99521;1;1,99E-05
396;0,31414;0,30303;0,99564;1;1,74E-05
397;0,31851;0,303;0,99564;1;1,50E-05
398;0,31646;0,30289;0,99564;1;1,25E-05
399;0,31657;0,30278;0,99564;1;1,00E-05
