               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  57,            0.061085,            0.011698,            0.017285,             0.58488,             0.16592,             0.12458,            0.044062,            0.060053,           0.0069438,            0.018097,            0.004456,            0.004456,            0.004456
                  58,            0.060999,            0.011401,            0.016594,             0.60373,             0.17514,             0.12838,            0.045674,             0.05994,           0.0069553,             0.01825,            0.004357,            0.004357,            0.004357
                  59,            0.060748,            0.011457,            0.016948,             0.59525,              0.1678,             0.12383,            0.044804,            0.059945,           0.0069211,            0.018487,            0.004258,            0.004258,            0.004258
                  60,            0.060045,            0.011577,            0.016643,             0.61542,             0.16955,             0.12242,            0.044625,            0.060026,            0.006905,            0.018863,            0.004159,            0.004159,            0.004159
                  61,            0.060087,            0.011671,             0.01676,             0.45945,             0.18043,             0.13486,            0.048603,             0.05977,           0.0069227,             0.01837,             0.00406,             0.00406,             0.00406
                  62,            0.060336,            0.011496,            0.016888,             0.46057,             0.15664,             0.12544,            0.043681,            0.059674,           0.0069222,            0.019113,            0.003961,            0.003961,            0.003961
                  63,            0.059765,            0.011515,            0.016138,             0.46199,             0.17792,             0.11736,            0.042638,            0.059778,           0.0069428,            0.018497,            0.003862,            0.003862,            0.003862
                  64,            0.059498,            0.011529,            0.015783,             0.58811,             0.17286,              0.1188,            0.041521,            0.059949,           0.0069415,            0.018857,            0.003763,            0.003763,            0.003763
                  65,            0.059231,            0.011589,            0.015934,              0.5834,             0.17973,             0.12119,            0.041909,            0.060188,            0.006927,            0.018718,            0.003664,            0.003664,            0.003664
                  66,            0.059043,            0.011417,            0.015086,             0.59991,             0.16178,             0.12529,            0.045335,            0.059876,            0.006921,            0.018186,            0.003565,            0.003565,            0.003565
                  67,            0.058794,            0.011451,            0.015516,             0.46286,             0.19126,             0.12835,            0.045932,            0.059746,           0.0068955,            0.018507,            0.003466,            0.003466,            0.003466
                  68,            0.058502,             0.01142,            0.014534,             0.48727,             0.18739,             0.13044,            0.046551,            0.059245,           0.0068981,            0.018482,            0.003367,            0.003367,            0.003367
                  69,            0.058563,            0.011486,            0.014532,             0.48425,             0.18906,             0.13047,            0.046149,            0.059274,           0.0069024,            0.018502,            0.003268,            0.003268,            0.003268
                  70,            0.058426,            0.011528,            0.014558,             0.50007,             0.19976,             0.13026,             0.04675,            0.059264,           0.0069154,            0.018567,            0.003169,            0.003169,            0.003169
                  71,            0.058223,            0.011435,            0.014525,             0.51133,             0.21343,             0.13686,            0.048386,            0.059336,           0.0068939,            0.018661,             0.00307,             0.00307,             0.00307
                  72,            0.058173,            0.011414,            0.013811,             0.50954,             0.20961,             0.14123,            0.050267,            0.059146,           0.0068859,             0.01859,            0.002971,            0.002971,            0.002971
